County,long,lat,group,order,State,sregion
Coconino,-111.5147781,34.4233017,70,3305,Arizona,Phoenix
Coconino,-110.752739,36.40573883,70,3230,Arizona,Phoenix
Coconino,-110.8730621,34.2857933,70,3248,Arizona,Phoenix
Coconino,-110.752739,35.86715698,70,3231,Arizona,Phoenix
Coconino,-113.325325,35.82131958,70,3331,Arizona,Phoenix
Coconino,-111.5606155,34.80145645,70,3309,Arizona,Phoenix
Coconino,-113.1648941,35.50046539,70,3326,Arizona,Phoenix
Coconino,-113.2107315,35.50619507,70,3327,Arizona,Phoenix
Coconino,-110.752739,34.84729385,70,3233,Arizona,Phoenix
Coconino,-111.3142395,34.4233017,70,3274,Arizona,Phoenix
Coconino,-111.2855911,34.44049454,70,3272,Arizona,Phoenix
Coconino,-110.752739,34.2628746,70,3234,Arizona,Phoenix
Coconino,-110.9131699,34.29725266,70,3249,Arizona,Phoenix
Coconino,-112.683609,36.32552338,70,3353,Arizona,Phoenix
Coconino,-111.3658066,34.43476486,70,3277,Arizona,Phoenix
Coconino,-113.3195953,36.07915115,70,3337,Arizona,Phoenix
Coconino,-112.7122574,36.30833435,70,3350,Arizona,Phoenix
Coconino,-113.3138657,35.90153885,70,3333,Arizona,Phoenix
Coconino,-111.4746704,34.4233017,70,3300,Arizona,Phoenix
Coconino,-111.2111053,34.41184616,70,3269,Arizona,Phoenix
Coconino,-111.411644,34.4233017,70,3291,Arizona,Phoenix
Coconino,-111.4689407,34.41184616,70,3299,Arizona,Phoenix
Coconino,-111.2397537,34.43476486,70,3270,Arizona,Phoenix
Coconino,-111.0850525,34.38319778,70,3258,Arizona,Phoenix
Coconino,-111.2970505,34.43476486,70,3273,Arizona,Phoenix
Coconino,-111.0678711,34.35454941,70,3255,Arizona,Phoenix
Coconino,-111.0449524,34.34309006,70,3254,Arizona,Phoenix
Coconino,-110.981926,34.33736038,70,3251,Arizona,Phoenix
Coconino,-111.0334854,34.35454941,70,3253,Arizona,Phoenix
Coconino,-112.6549606,36.33698273,70,3354,Arizona,Phoenix
Coconino,-110.7584686,36.80680847,70,3229,Arizona,Phoenix
Coconino,-110.7928467,34.31444168,70,3238,Arizona,Phoenix
Coconino,-111.4746704,34.43476486,70,3302,Arizona,Phoenix
Coconino,-111.5606155,34.44049454,70,3308,Arizona,Phoenix
Coconino,-112.5403748,36.99588394,70,3366,Arizona,Phoenix
Coconino,-111.0621414,34.37746811,70,3256,Arizona,Phoenix
Coconino,-111.1251602,36.99588394,70,3226,Arizona,Phoenix
Coconino,-111.2569427,34.44049454,70,3271,Arizona,Phoenix
Coconino,-112.7237167,36.33698273,70,3351,Arizona,Phoenix
Coconino,-110.9704666,34.32017136,70,3250,Arizona,Phoenix
Coconino,-111.3772659,34.43476486,70,3278,Arizona,Phoenix
Coconino,-111.0220337,34.35454941,70,3252,Arizona,Phoenix
Coconino,-112.6950684,36.3427124,70,3352,Arizona,Phoenix
Coconino,-111.3600769,34.4233017,70,3276,Arizona,Phoenix
Coconino,-110.8444138,34.26860428,70,3246,Arizona,Phoenix
Coconino,-111.7783356,34.80145645,70,3310,Arizona,Phoenix
Coconino,-110.8444138,37.00161362,70,3227,Arizona,Phoenix
Coconino,-111.1824646,34.40611649,70,3267,Arizona,Phoenix
Coconino,-112.5804749,36.85837555,70,3363,Arizona,Phoenix
Coconino,-111.6866684,37.00161362,70,3370,Arizona,Phoenix
Coconino,-111.4001846,34.4233017,70,3280,Arizona,Phoenix
Coconino,-113.3482361,36.04477692,70,3336,Arizona,Phoenix
Coconino,-111.0678711,34.38319778,70,3257,Arizona,Phoenix
Coconino,-111.3887253,34.43476486,70,3279,Arizona,Phoenix
Coconino,-112.6320496,36.68648529,70,3362,Arizona,Phoenix
Coconino,-111.4345627,34.44049454,70,3295,Arizona,Phoenix
Coconino,-111.3199692,37.00161362,70,3372,Arizona,Phoenix
Coconino,-113.1992722,36.10206985,70,3341,Arizona,Phoenix
Coconino,-113.0503006,36.19374084,70,3345,Arizona,Phoenix
Coconino,-111.5319595,34.4233017,70,3306,Arizona,Phoenix
Coconino,-110.8444138,34.25714493,70,3247,Arizona,Phoenix
Coconino,-111.4001846,34.42903519,70,3292,Arizona,Phoenix
Coconino,-111.199646,34.40611649,70,3268,Arizona,Phoenix
Coconino,-111.3199692,37.00161362,70,3224,Arizona,Phoenix
Coconino,-112.6320496,36.6406517,70,3361,Arizona,Phoenix
Coconino,-111.2512131,36.99588394,70,3225,Arizona,Phoenix
Coconino,-111.4001846,34.41184616,70,3281,Arizona,Phoenix
Coconino,-111.4632111,34.41757584,70,3298,Arizona,Phoenix
Coconino,-112.3398361,34.96188354,70,3314,Arizona,Phoenix
Coconino,-111.8069839,34.97907257,70,3312,Arizona,Phoenix
Coconino,-112.6033936,36.39427948,70,3355,Arizona,Phoenix
Coconino,-110.7584686,36.99588394,70,3228,Arizona,Phoenix
Coconino,-112.9529037,35.35722733,70,3324,Arizona,Phoenix
Coconino,-111.4173737,34.4462204,70,3294,Arizona,Phoenix
Coconino,-111.4574814,34.42903519,70,3297,Arizona,Phoenix
Coconino,-113.2508392,36.08488464,70,3339,Arizona,Phoenix
